ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2014,"2014","6111","Elementary & secondary schools","true","true",59405,51615.40646410235,3541.0723648569533,5982.622221306622,3107,"Engineering","14"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",161037,63732.34329998696,4124.979351191274,9846.476293524647,8065,"Engineering","14"
2020,"2020","23","Construction","true","true",15315,66681.86908259876,13260.289606237518,3038.1612644465313,671,"Parks, Recreation, & Leisure","31"
2020,"2020","5413","Architectural, engineering & related services","true","true",2992,67241.79645721926,19385.035777360954,1342.9231796100817,149,"Parks, Recreation, & Leisure","31"
2020,"2020","5415","Computer Systems Design","true","true",10454,97931.76573560359,20169.39581657944,2510.155877070493,458,"Parks, Recreation, & Leisure","31"
2020,"2020","6111","Elementary & secondary schools","true","true",75353,51635.87847862726,2437.0052855801614,6737.745703827028,3721,"Parks, Recreation, & Leisure","31"
2020,"2020","611M1","Colleges, universities & professional schools, including junior colleges","true","true",39095,51667.42954341987,5850.193404308202,4853.757644480893,1876,"Parks, Recreation, & Leisure","31"
2019,"2019","23","Construction","true","true",13676,65399.32633811056,14021.344243804138,2871.006433699892,614,"Parks, Recreation, & Leisure","31"
2019,"2019","5413","Architectural, engineering & related services","true","true",2573,63811.47804119705,21280.347154025396,1245.3483880269296,133,"Parks, Recreation, & Leisure","31"
2019,"2019","5415","Computer Systems Design","true","true",7891,93721.40641236852,22463.907896027737,2180.8668969035743,385,"Parks, Recreation, & Leisure","31"
2019,"2019","6111","Elementary & secondary schools","true","true",72484,50289.674714419736,2464.311300731327,6608.289716675822,3731,"Parks, Recreation, & Leisure","31"
2019,"2019","611M1","Colleges, universities & professional schools, including junior colleges","true","true",36782,49601.03012342994,5727.834106530517,4708.019576654605,1861,"Parks, Recreation, & Leisure","31"
2018,"2018","23","Construction","true","true",11899,60641.66064375157,12740.182433896996,2678.0101133130693,559,"Parks, Recreation, & Leisure","31"
2018,"2018","5413","Architectural, engineering & related services","true","true",2038,66063.60058881257,25460.502984614213,1108.3420325041184,110,"Parks, Recreation, & Leisure","31"
2018,"2018","5415","Computer Systems Design","true","true",6362,87964.59085193336,22015.496172011823,1958.2227232688324,317,"Parks, Recreation, & Leisure","31"
2018,"2018","6111","Elementary & secondary schools","true","true",67243,48857.11186294484,2435.82677888737,6364.991281124636,3412,"Parks, Recreation, & Leisure","31"
2018,"2018","611M1","Colleges, universities & professional schools, including junior colleges","true","true",35943,47883.65400773447,5456.528171766398,4654.0196613237,1750,"Parks, Recreation, & Leisure","31"
2017,"2017","23","Construction","true","true",10333,56824.46453111391,11952.276235627227,2495.5847003711706,491,"Parks, Recreation, & Leisure","31"
2017,"2017","5413","Architectural, engineering & related services","true","true",1822,62339.385290889135,29906.38283624369,1047.9635657940619,100,"Parks, Recreation, & Leisure","31"
2017,"2017","5415","Computer Systems Design","true","true",5326,82078.1911378145,20724.201579541983,1791.7081479143899,265,"Parks, Recreation, & Leisure","31"
2017,"2017","6111","Elementary & secondary schools","true","true",62624,47728.630716658154,2415.269649051618,6142.571795860985,3208,"Parks, Recreation, & Leisure","31"
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",33702,45530.61889502106,5139.023837741814,4506.626008364194,1641,"Parks, Recreation, & Leisure","31"
2016,"2016","23","Construction","true","true",9105,53393.00494233937,13067.659887016067,2342.613770345071,441,"Parks, Recreation, & Leisure","31"
2016,"2016","5413","Architectural, engineering & related services","true","true",1897,68036.14338429099,35697.344207563416,1069.3146049872587,102,"Parks, Recreation, & Leisure","31"
2016,"2016","5415","Computer Systems Design","true","true",4648,79796.35606712564,22876.329444258226,1673.7887719876298,231,"Parks, Recreation, & Leisure","31"
2016,"2016","6111","Elementary & secondary schools","true","true",58493,46482.59617390115,2493.35229055646,5936.582151267353,2997,"Parks, Recreation, & Leisure","31"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",31729,44483.46084024079,5158.620968288367,4372.743612629372,1535,"Parks, Recreation, & Leisure","31"
2015,"2015","23","Construction","true","true",8029,53236.36554988168,14300.48259498086,2199.849168733104,395,"Parks, Recreation, & Leisure","31"
2015,"2015","5413","Architectural, engineering & related services","true","true",1879,67792.97658328898,34273.39150458842,1064.2292814370007,88,"Parks, Recreation, & Leisure","31"
2015,"2015","5415","Computer Systems Design","true","true",3805,75588.96925098555,20521.565900471294,1514.4192667297493,186,"Parks, Recreation, & Leisure","31"
2015,"2015","6111","Elementary & secondary schools","true","true",54290,45861.079314790935,2513.2293286358563,5719.388306438169,2784,"Parks, Recreation, & Leisure","31"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",29935,42474.65992984801,4690.556003666723,4247.344351684696,1449,"Parks, Recreation, & Leisure","31"
2014,"2014","23","Construction","true","true",7570,53169.55918097754,13556.464587211014,2136.0461705078956,386,"Parks, Recreation, & Leisure","31"
